(78000,10999705282775,256,1488,520)
(78001,1255229471311,256,1152,640)
(78002,1392131553871,256,1152,496)
(78003,9348365850839,256,4464,780)
(78004,2783458007255,256,4096,728)
(78005,9354757970135,256,768,540)
(78006,10997582960855,256,4548,764)
(78007,1659069828951,256,1752,580)
(78008,1667592654679,256,848,496)
(78009,3301894819671,256,3204,718)
(78010,846180159319,256,1408,544)
(78011,2754286489431,256,1440,604)
(78012,1393788489559,256,704,384)
(78013,3333305968887,256,1440,652)
(78014,9913128789239,256,1728,756)
(78015,10999822592247,256,1624,576)
(78016,2354737354527,256,2112,580)
(78017,4545170675487,256,848,496)
(78018,3333314353399,256,1296,572)
(78019,9904614316279,256,864,630)
(78020,10999830976759,256,960,512)
(78021,3305115913903,256,864,540)
(78022,1670813748911,256,576,464)
(78023,3333314226423,256,1488,632)
(78024,9913405577455,256,1872,716)
(78025,10999830849783,256,1248,488)
(78026,3305116044719,256,1872,634)
(78027,1670813879727,256,1856,496)
(78028,1667542208087,256,384,320)
(78029,1652526861455,256,960,512)
(78030,1654657567887,256,2988,676)
(78031,1654657567831,256,2940,632)
(78032,1652526861399,256,4040,672)
(78033,846129712727,256,1632,588)
(78034,1393738042967,256,1824,620)
(78035,843999006295,256,2232,672)
(78036,1171465580119,256,1520,528)
(78037,620128513623,256,576,544)
(78038,1655722921103,256,576,508)
(78039,1655722921047,256,576,572)
(78040,1668607561303,256,864,488)
(78041,1650622869079,256,864,432)
(78042,1667559107983,256,1392,548)
(78043,1393754942863,256,256,256)
(78044,846146612623,256,1392,556)
(78045,1395885649295,256,864,512)
(78046,4951193499855,256,1728,704)
(78047,9090336340175,256,1296,440)
(78048,2510446601423,256,3736,654)
(78049,10998375720143,256,3072,624)
(78050,2339705620367,256,2736,616)
(78051,1392664230479,256,1152,640)
(78052,2476610981775,256,1248,560)
(78053,413680420345,256,1088,448)
(78054,1670755167631,256,4172,568)
(78055,3335055156431,256,1296,654)
(78056,9914944895183,256,576,440)
(78057,11001571779791,256,1392,684)
(78058,431670464399,256,1824,544)
(78059,1376151255631,256,864,580)
(78060,430620916303,256,512,400)
(78061,433816975951,256,768,544)
(78062,2750415146895,256,960,512)
(78063,413680322044,256,512,384)
(78064,4984347474127,256,2112,654)
(78065,9906353023183,256,384,528)
(78066,3335053060303,256,1296,694)
(78067,11001569683663,256,576,748)
(78068,2339834597263,256,1600,496)
(78069,2339834533775,256,1728,640)
(78070,6599779391375,256,1440,616)
(78071,2751488757647,256,1440,576)
(78072,207521990140,256,960,448)
(78073,423205377935,256,864,580)
(78074,1667559115951,256,960,500)
(78075,1667559886511,256,576,440)
(78076,1654658469207,256,864,488)
(78077,1652527762775,256,3776,708)
(78078,1393754950831,256,384,352)
(78079,846146620591,256,640,424)
(78080,1395885657263,256,3240,662)
(78081,1393755721391,256,1152,540)
(78082,3316809764695,256,2448,652)
(78083,2495397269335,256,2112,580)
(78084,846147391151,256,1216,488)
(78085,1400180608855,256,960,520)
(78086,1395886427823,256,1872,654)
(78087,2767070728023,256,4320,730)
(78088,2493266562903,256,864,540)
(78089,850441572183,256,4092,694)
(78090,621202255191,256,384,320)
(78091,623332961623,256,3168,520)
(78092,691784002903,256,576,352)
(78093,1173088513367,256,1248,500)
(78094,1173089291895,256,1680,480)
(78095,2354204677919,256,4320,700)
(78096,623350255223,256,6114,640)
(78097,691801296503,256,1776,480)
(78098,1655723822423,256,384,572)
(78099,1670755175599,256,1880,568)
(78100,1670755946159,256,576,488)
(78101,2770266787671,256,2320,604)
(78102,3317875117911,256,576,504)
(78103,1675050127191,256,1392,520)
(78104,4537180526367,256,2448,652)
(78105,2338224379679,256,1280,580)
(78106,6598701913887,256,1536,520)
(78107,1668632726703,256,960,500)
(78108,1670763433135,256,4136,680)
(78109,5534136838383,256,1296,572)
(78110,5534076971247,256,864,570)
(78111,13200593594607,256,1440,668)
(78112,3317900152495,256,1248,540)
(78113,2770291822255,256,2320,608)
(78114,1675075161775,256,864,440)
(78115,3320030858927,256,3984,690)
(78116,1653844610679,256,768,400)
(78117,693648371031,256,640,400)
(78118,1654124621143,256,3704,584)
(78119,1666921338287,256,1152,594)
(78120,4957635910047,256,576,456)
(78121,4957635906999,256,864,640)
(78122,1169884974711,256,1680,504)
(78123,1171466489463,256,832,432)
(78124,620129422967,256,3708,580)
(78125,1655720586583,256,384,472)
(78126,1650623778423,256,576,432)
(78127,1670764334455,256,1872,500)
(78128,1668633628023,256,3344,632)
(78129,3318009111791,256,864,566)
(78130,5508442432751,256,576,368)
(78131,6603659093231,256,960,596)
(78132,3317900283311,256,576,352)
(78133,2770291953071,256,960,544)
(78134,1675075292591,256,864,500)
(78135,3320030989743,256,2088,650)
(78136,4983272576415,256,2160,648)
(78137,13196594384247,256,2832,730)
(78138,4983272577375,256,576,460)
(78139,13196627414391,256,960,550)
(78140,1652530990167,256,864,682)
(78141,209422265943,256,576,584)
(78142,9349171186895,256,4340,736)
(78143,9077497728207,256,2880,794)
(78144,1410981104847,256,1392,540)
(78145,9898910223567,256,2520,752)
(78146,2785328696527,256,4892,778)
(78147,3335067733199,256,1152,480)
(78148,9906367696079,256,2520,764)
(78149,2339297728399,256,1728,640)
(78150,6600316260239,256,1152,520)
(78151,2752025563023,256,1152,552)
(78152,206989313532,256,768,416)
(78153,1655852616823,256,576,590)
(78154,3305120042615,256,864,540)
(78155,4954286836855,256,3456,664)
(78156,1670767561847,256,1296,532)
(78157,3335185042671,256,1440,580)
(78158,9906485005551,256,2400,756)
(78159,2770295950967,256,1872,674)
(78160,6603554262647,256,960,480)
(78161,3320034987639,256,1296,572)
(78162,212644007543,256,768,480)
(78163,212626713943,256,576,496)
(78164,1666921305527,256,960,480)
(78165,4957636005279,256,2400,720)
(78166,211570396791,256,1296,548)
(78167,209423175287,256,1248,512)
(78168,3335193300207,256,576,440)
(78169,9906493263087,256,2088,716)
(78170,2770304339319,256,1296,634)
(78171,6603562650999,256,576,500)
(78172,1684097045943,256,1296,520)
(78173,9364203214239,256,864,670)
(78174,2750557567819,256,1440,636)
(78175,833928411979,256,1728,604)
(78176,692669170735,384,2752,802)
(78177,418865005615,384,1456,624)
(78178,829571253295,384,768,600)
(78179,418965407035,352,2754,930)
(78180,692769572155,352,936,616)
(78181,418994373819,384,1872,762)
(78182,829700621499,384,576,488)
(78183,418995275195,256,1488,620)
(78184,829671654715,352,2248,784)
(78185,692798538939,384,1584,656)
(78186,1297102178095,256,1600,608)
(78187,692799440315,256,640,464)
(78188,1264923477295,256,960,580)
(78189,1282070316335,256,2016,802)
(78190,1264956507439,256,3534,992)
(78191,1252139238703,256,3856,924)
(78192,3317495274043,256,1440,922)
(78193,346248595615,256,768,464)
(78194,635983513759,256,3752,692)
(78195,2285250422943,256,6408,770)
(78196,1658532841247,256,1248,620)
(78197,621166612734,256,768,472)
(78198,1380912514079,256,2872,816)
(78199,1380937667615,256,3040,848)
(78200,1684739384351,256,2944,808)
(78201,863326888991,256,1536,628)
(78202,1655790289951,256,384,780)
(78203,1687935443999,256,2512,736)
(78204,1687935960607,256,576,588)
(78205,5534078522911,256,1872,560)
(78206,4986470192671,256,2392,750)
(78207,1692230403615,256,576,656)
(78208,1655815443487,256,1296,812)
(78209,1413057668127,256,1968,748)
(78210,1413116372255,256,2016,684)
(78211,5533029688607,256,2520,770)
(78212,4711617193247,256,1248,604)
(78213,1425967211807,256,1824,688)
(78214,1410910963231,256,1248,620)
(78215,1684740031775,256,1600,752)
(78216,1684773061919,256,3416,856)
(78217,448389710971,352,3060,962)
(78218,448489342075,448,3624,886)
(78219,431342503035,256,1632,668)
(78220,422753076347,384,2544,798)
(78221,1684715128351,256,256,320)
(78222,863302632991,256,1392,632)
(78223,1662165167465,256,4984,784)
(78224,3303392128361,256,1504,688)
(78225,1654175018345,256,2664,806)
(78226,3301261421929,256,1728,660)
(78227,1658436431209,256,864,504)
(78228,1381037819167,256,864,748)
(78229,1410935866655,256,1088,644)
(78230,1410968896799,256,1472,724)
(78231,863327536415,256,1248,588)
(78232,863360566559,256,2688,844)
(78233,1263849735727,256,576,520)
(78234,1381038589727,256,384,400)
(78235,1280996574767,256,1320,964)
(78236,1246102807913,256,1280,672)
(78237,692102358377,256,2304,790)
(78238,1263882765871,256,2256,1090)
(78239,1251065497135,256,4676,970)
(78240,1684773832479,256,1472,700)
(78241,2753753627467,256,1584,660)
(78242,3300296604491,256,2592,734)
(78243,1658407085417,256,5298,752)
(78244,863361337119,256,3096,836)
(78245,829666999115,256,2592,730)
(78246,837657148235,256,1488,512)
(78247,2753653091689,256,2048,552)
(78248,1687936091311,256,1392,696)
(78249,5534078526639,256,2088,560)
(78250,4986470196399,256,2196,750)
