(44000,690082719623,256,768,604)
(44001,1170727152263,256,1152,764)
(44002,621198234903,256,1968,632)
(44003,689915614487,256,576,480)
(44004,621198624535,256,1296,628)
(44005,689916004119,256,576,496)
(44006,621298636567,256,2496,660)
(44007,621196953903,256,1872,520)
(44008,689916396855,256,384,352)
(44009,4469353952935,256,864,596)
(44010,4570451584935,256,2232,722)
(44011,2285212617519,256,2496,782)
(44012,9352298288663,256,1992,636)
(44013,3302446377287,256,576,732)
(44014,829352654023,256,640,480)
(44015,1651690396175,256,1264,464)
(44016,1376960984263,256,960,600)
(44017,1650765149383,256,576,552)
(44018,413142495943,256,768,480)
(44019,1652038243527,256,1776,716)
(44020,1651958928663,256,1344,560)
(44021,1651959318295,256,384,432)
(44022,4950493550359,256,1520,552)
(44023,1651691309359,256,1248,448)
(44024,4956667595567,256,1488,676)
(44025,6599492586287,256,1248,488)
(44026,1380905821831,256,1344,660)
(44027,1380972815527,256,1968,852)
(44028,1658967027805,256,768,536)
(44029,3301792018525,256,576,520)
(44030,1662163087453,256,1296,616)
(44031,2754183688285,256,1088,568)
(44032,1654705614941,256,1872,770)
(44033,3303922724957,256,512,568)
(44034,1666871014631,256,1296,686)
(44035,2753697350887,256,576,464)
(44036,3301305681127,256,864,596)
(44037,831116731415,256,2176,900)
(44038,1380909950599,256,1520,644)
(44039,9902057961095,256,2352,688)
(44040,439190078809,448,2864,848)
(44041,426306209113,384,1776,720)
(44042,442411291993,352,1920,904)
(44043,693807666231,256,576,520)
(44044,1240862854570,256,256,544)
(44045,1240753868330,256,2640,732)
(44046,1240786898474,256,512,832)
(44047,3302446246471,256,960,810)
(44048,2755262071863,256,1296,856)
(44049,1240754064554,256,2320,604)
(44050,693807658151,256,1312,640)
(44051,693790889127,256,3560,900)
(44052,693783021223,256,864,572)
(44053,859283731655,256,2672,784)
(44054,827205432519,256,1472,656)
(44055,2476638414023,256,1632,772)
(44056,2750442579143,256,640,496)
(44057,2751516316871,256,1632,724)
(44058,2751566644455,256,960,548)
(44059,2783711798503,256,384,440)
(44060,2783695029479,256,1728,686)
(44061,6599513295079,256,1296,596)
(44062,3333450835175,256,1152,722)
(44063,6601660770535,256,576,488)
(44064,1240317093399,384,1632,778)
(44065,1240316831367,384,832,656)
(44066,418904336007,384,384,488)
(44067,692591584391,352,2832,990)
(44068,1240199914631,352,1952,768)
(44069,692717139591,448,2208,882)
(44070,692717147671,448,1152,720)
(44071,692716885639,256,1584,688)
(44072,692733916695,256,1088,632)
(44073,418787419271,352,1024,720)
(44074,418912974471,448,960,584)
(44075,418929751575,256,768,464)
