(51000,2287783254761,384,2556,976)
(51001,26674045561293,544,2656,1016)
(51002,22301701745101,384,1280,734)
(51003,20102745598413,544,2248,1016)
(51004,26699682195917,256,960,748)
(51005,30796000080589,544,2284,1076)
(51006,30796000144077,512,3130,1162)
(51007,30796010624717,544,2368,1036)
(51008,2305346308942,256,2040,844)
(51009,2304826018638,384,2744,1000)
(51010,2305362824014,256,2778,962)
(51011,4467630697650,256,2832,894)
(51012,2289913961193,256,1392,774)
(51013,2291412765231,256,1392,762)
(51014,26674045593037,448,1536,782)
(51015,20102745630157,448,2696,834)
(51016,22301701776845,256,384,496)
(51017,26699682227661,256,576,608)
(51018,30796002144973,448,1184,838)
(51019,30796008528589,448,768,778)
(51020,30796002240205,448,3046,928)
(51021,2306948729454,256,1248,822)
(51022,2308583918190,256,864,634)
(51023,2308559145582,256,2016,796)
(51024,13384208883539,352,1836,976)
(51025,26544122896211,448,2168,890)
(51026,30821776011155,384,1296,770)
(51027,2274870168398,256,1872,954)
(51028,2271594939079,256,2832,914)
(51029,4570165564606,256,2376,778)
(51030,4501714523326,256,2040,730)
(51031,13194996765886,256,2928,742)
(51032,26948923464141,384,1840,734)
(51033,30822849748877,256,864,656)
(51034,2288199469902,256,2788,878)
(51035,26974552132958,384,768,704)
(51036,26682523389278,528,2284,1112)
(51037,22301656747358,632,3770,1350)
(51038,22576534523230,592,2728,1176)
(51039,26682556419422,608,1808,1026)
(51040,22301689777502,648,2128,1134)
(51041,22163189665118,612,3062,1362)
(51042,22163156634974,600,3614,1260)
(51043,26561170115949,528,1904,1008)
(51044,26545121660254,560,2036,1096)
(51045,22164255018334,580,2782,1314)
(51046,22576567553374,512,1392,856)
(51047,26545088630110,512,1680,928)
(51048,22164221988190,472,2216,1050)
(51049,26974552132973,256,256,580)
(51050,22163256266078,448,2240,882)
(51051,13384208895326,352,1836,984)
(51052,2290344855994,256,864,842)
(51053,2307077217116,352,1320,1012)
(51054,2287783156460,448,1896,1132)
(51055,2286587218362,256,4436,1038)
(51056,2307510274734,256,1184,752)
(51057,2306946632122,384,2544,982)
(51058,2307491695278,256,960,780)
(51059,207082840366,256,384,690)
(51060,4467630817029,256,576,548)
(51061,4673782508962,256,3000,1054)
(51062,4673782770988,256,1728,882)
(51063,12146444448414,592,2400,1134)
(51064,27506128365805,592,2272,1064)
(51065,12146444544627,568,2862,1288)
(51066,27497605540077,556,3544,1358)
(51067,27523242174701,384,2316,1034)
(51068,2307639283374,352,960,752)
(51069,12146452932973,636,2080,1374)
(51070,27496800268510,616,2392,1342)
(51071,27505323094238,600,1656,1188)
(51072,2307508210350,384,2584,892)
(51073,207736679337,384,1008,772)
(51074,2303750572474,352,3724,1178)
(51075,2307493759662,256,1620,1086)
(51076,4536880426402,256,816,648)
(51077,429817949602,256,4566,1092)
(51078,429818211628,256,1296,808)
(51079,4536880688428,256,864,700)
(51080,27522436903134,384,672,826)
(51081,2290315954862,256,3040,936)
(51082,20942271352606,640,1744,1324)
(51083,20942267001630,600,3232,1226)
(51084,2308588242599,256,576,628)
(51085,2304830604967,256,720,772)
(51086,2269740925369,256,3440,972)
(51087,2307077217004,448,1152,910)
(51088,2288315833068,448,1152,918)
(51089,2290315954618,256,928,742)
(51090,2273802980014,256,864,886)
(51091,2291412273838,256,864,850)
(51092,22163156636915,688,3866,1260)
(51093,22163156634995,552,3010,1152)
(51094,26561170115955,672,2368,930)
(51095,22164221990131,624,3328,1188)
(51096,26545088632051,672,2832,1034)
(51097,22576534523251,656,2568,1054)
(51098,22164221988211,512,2100,936)
(51099,26545088630131,544,1936,896)
(51100,22576534525171,512,864,718)
(51101,26974552132979,256,256,540)
(51102,13384208895347,352,1080,822)
(51103,22163256266099,448,1296,768)
(51104,2306954889658,384,2544,912)
(51105,2308583885486,256,992,640)
(51106,2307491695034,256,960,724)
(51107,12146440352365,560,2886,1064)
(51108,27497605571821,720,4264,1162)
(51109,12146444448435,576,1424,882)
(51110,27506128397549,448,768,810)
(51111,27523242206445,576,1856,880)
(51112,2323627839150,384,576,620)
(51113,12146452934893,672,2080,1122)
(51114,27505323094253,576,1656,936)
(51115,27496800268525,704,2392,1118)
(51116,2303750572718,448,3168,1016)
(51117,2307508210106,256,576,678)
(51118,2308559112878,384,1296,930)
(51119,27522436903149,384,672,656)
(51120,2286587218606,256,1584,860)
(51121,20942271355486,704,1744,1070)
(51122,20942267001651,608,2416,974)
(51123,207183438198,256,384,568)
(51124,2308588242711,256,384,496)
(51125,2304830605079,384,576,656)
(51126,223636778352,256,2312,674)
(51127,2269740925725,256,1344,778)
(51128,4501764596087,256,1800,766)
(51129,4501748081015,256,1512,670)
(51130,13195030323575,256,864,496)
(51131,2273802979770,256,960,912)
(51132,2271594709733,256,1184,720)
(51133,2274899527447,256,384,660)
(51134,2271611224561,256,768,846)
(51135,4570165106294,256,1152,580)
(51136,4501714065014,256,2400,770)
(51137,13194996307574,256,2944,832)
(51138,223766666868,256,2648,794)
(51139,4570165073590,256,1440,750)
(51140,4501714032310,256,576,400)
(51141,13194996274870,256,1440,720)
(51142,12146438253363,544,2368,1024)
(51143,2290475929262,352,1080,768)
(51144,12146438253357,624,1896,1062)
(51145,27497597282541,624,2764,1212)
(51146,27497597282526,680,2764,1236)
(51147,2307479308974,352,3672,1084)
(51148,2307479308730,448,3168,1078)
(51149,2307522661038,256,576,684)
(51150,27523233917165,256,384,616)
(51151,27523233917150,256,384,588)
(51152,2290344856238,256,864,804)
(51153,4467630620434,256,1536,816)
(51154,2290346920622,256,1296,942)
(51155,2274899527335,256,576,712)
(51156,2271611224805,256,1152,938)
(51157,4467731741650,256,3502,914)
(51158,4501714068854,256,3934,872)
(51159,4570165110134,256,1080,652)
(51160,13194996311414,256,4726,920)
(51161,2321597733613,384,1560,762)
(51162,2307640265391,256,2568,948)
(51163,2321473342127,256,2874,1024)
(51164,2290476911279,256,3324,992)
(51165,19877855502814,464,3442,1242)
(51166,6717941490142,464,2590,1182)
(51167,22093925458398,480,3054,1080)
(51168,11115921940958,480,2808,1024)
(51169,4467599760112,256,3760,838)
(51170,15446852055518,448,3550,1182)
(51171,15444975301086,448,3660,1170)
(51172,30821231896051,384,2200,880)
(51173,30821240153587,384,2300,952)
(51174,2320395144030,256,3116,1136)
(51175,28638844367341,384,3252,900)
(51176,2286622868206,256,2600,1054)
(51177,2286622867962,256,2212,1028)
(51178,4467731749618,256,2976,922)
(51179,4501714065070,256,2400,824)
(51180,4570165106350,256,1152,620)
(51181,13194996307630,256,2944,884)
(51182,2288316844894,256,3694,1136)
(51183,28638844233651,384,2920,912)
(51184,2286652228027,256,4700,1090)
(51185,2286651834873,256,3220,988)
(51186,223766658900,256,3402,930)
(51187,4570165077430,256,3168,906)
(51188,4501714036150,256,640,528)
(51189,13194996278710,256,3336,868)
(51190,5817539605261,672,864,920)
(51191,22301624103693,448,1440,904)
(51192,3627106284301,256,384,716)
(51193,20085454517005,688,1088,1024)
(51194,7734187626253,384,576,808)
(51195,7731771716365,592,1504,1158)
(51196,2275405830888,384,864,906)
(51197,2275431484974,256,384,528)
(51198,2275300411706,256,864,862)
(51199,2291511991017,384,1776,864)
(51200,2275432466991,256,1184,738)
(51201,26674045497805,544,1680,902)
(51202,20102745534925,512,1296,774)
(51203,22301701681613,384,864,778)
(51204,26699682132429,256,1296,680)
(51205,30795995951821,480,1776,946)
(51206,30796014816973,432,2052,976)
(51207,2306973502062,256,1088,744)
(51208,2305363085934,256,2304,868)
(51209,13521647836877,256,1080,802)
(51210,22300695207629,384,1152,632)
(51211,30821776236237,384,1008,704)
(51212,2273804815182,256,1216,786)
(51213,2271620104423,256,1408,866)
(51214,4501764839102,256,2880,814)
(51215,13195047081662,256,2088,694)
(51216,2308687633132,448,1440,1030)
(51217,2286717803244,384,864,918)
(51218,22301660941549,576,1956,1128)
(51219,26682527583469,608,1296,886)
(51220,22300595588333,624,2016,1038)
(51221,26699682680045,256,384,620)
(51222,12146440254259,384,864,830)
(51223,2305492061870,384,576,620)
(51224,12146452929133,640,2004,1122)
(51225,27497605476589,544,1680,968)
(51226,27496787882221,672,2280,1074)
(51227,2306971404730,384,1536,866)
(51228,2305360988602,256,960,804)
(51229,2305363053230,384,1296,930)
(51230,27523242111213,576,1872,880)
(51231,20942271354526,640,1728,1070)
(51232,20942266938157,384,864,890)
(51233,2303765251751,384,576,656)
(51234,223636512480,384,1152,802)
(51235,2271672273338,256,1488,852)
(51236,2275401009594,256,1152,942)
(51237,2275429910970,256,864,826)
(51238,2275431975598,256,864,822)
(51239,2273834174231,256,384,548)
(51240,2271619875607,256,768,804)
(51241,2305493043887,256,1872,828)
(51242,15446854342110,448,1520,870)
(51243,15444987877854,352,1408,948)
(51244,30821777149421,384,1776,798)
(51245,30822850760173,256,864,656)
(51246,2307610905438,256,2264,978)
(51247,2307623291742,256,1952,862)
(51248,2290447551326,256,1952,942)
(51249,28638844360627,384,1296,742)
(51250,2286651835117,256,1312,794)
(51251,2286652228271,256,2168,912)
(51252,223766273776,256,2208,670)
(51253,4501764395646,256,2332,862)
(51254,4501764362942,256,1008,580)
(51255,13195046638206,256,3060,734)
(51256,5609783374599,784,2734,1392)
(51257,5609785438983,768,1536,990)
(51258,18769697387271,680,2164,1258)
(51259,3419350053639,592,1784,1116)
(51260,18838148492039,680,2176,1202)
(51261,18769697450759,688,1776,1076)
(51262,18769703741063,448,1128,960)
(51263,18769703742023,448,768,768)
(51264,2304812816844,384,672,788)
(51265,3419083778823,748,2712,1374)
(51266,3419083715335,448,2076,1242)
(51267,18769431112455,688,1688,1024)
(51268,18769431048967,448,976,856)
(51269,2273692785304,448,1824,1036)
(51270,2306976619305,256,576,738)
(51271,2273677281946,256,864,924)
(51272,2274776813346,256,384,616)
(51273,2274738572067,256,864,780)
(51274,207083032862,256,384,710)
(51275,209586374136,448,1408,800)
(51276,414905425016,448,1216,792)
(51277,2274881739212,384,864,784)
(51278,2271545563800,352,1368,1144)
(51279,2306972490537,256,768,704)
(51280,2271673359145,448,1248,960)
(51281,2308595715470,256,576,624)
(51282,2271555094926,384,1296,1052)
(51283,2275283831182,384,1296,1040)
(51284,2271542512419,384,1296,908)
(51285,2274762136360,448,1440,1164)
(51286,2303751658281,384,768,842)
(51287,2286588304169,448,1728,1118)
(51288,2289809136425,448,1296,1108)
(51289,2275443805582,384,1056,740)
(51290,2275312732558,384,1280,884)
(51291,2274898320169,384,768,924)
(51292,2275314796942,256,768,856)
(51293,2274752040738,256,256,744)
(51294,2274750958371,256,576,714)
(51295,2291395006243,256,256,512)
(51296,2271554898723,256,576,824)
(51297,2274753022755,256,864,890)
(51298,2274769569571,256,384,724)
(51299,2323628300413,384,1248,694)
(51300,3420948083463,528,1368,1004)
(51301,3420948146951,672,1824,1110)
(51302,18796932117127,448,1272,888)
(51303,18796932051719,672,2568,1064)
(51304,9992248046343,384,832,722)
(51305,26476332544775,384,576,648)
(51306,9992248111751,256,384,620)
(51307,26463448675079,512,928,774)
(51308,18779818242823,544,1152,1082)
(51309,18779818308231,544,1760,1074)
(51310,18779818306311,480,1088,906)
(51311,2307513555609,256,1088,728)
(51312,2288320518811,448,1920,886)
(51313,30795205323591,616,3266,1318)
(51314,30795209517767,544,2842,1262)
(51315,2308596697487,256,1336,792)
(51316,2305375865231,384,2416,950)
(51317,2290350201497,384,1904,914)
(51318,2320407075483,384,1680,806)
(51319,2275444787599,256,2856,874)
(51320,26535532999367,576,1584,992)
(51321,19964233036487,560,1944,1106)
(51322,26544055825095,592,2296,1154)
(51323,11185185665735,624,2926,1274)
(51324,22163189183175,592,2244,1100)
(51325,13375618986695,624,2148,1092)
(51326,26561169633991,576,1704,910)
(51327,2304954801001,448,3420,1110)
(51328,2273689537322,256,3368,900)
(51329,26536606610119,544,1904,1034)
(51330,19965306647239,544,1840,1002)
(51331,22164262793927,384,864,804)
(51332,26562243244743,256,768,612)
(51333,2274895203115,256,2576,976)
(51334,3420954374727,672,1296,910)
(51335,3420954340103,624,1936,1140)
(51336,18796938405511,624,1456,1138)
(51337,18796938342983,672,1152,976)
(51338,9992254337607,384,576,776)
(51339,9992254400135,384,576,864)
(51340,26467749409351,576,864,956)
(51341,26463454966343,576,864,912)
(51342,18779824531207,544,1888,1102)
(51343,18779824534087,512,768,794)
(51344,18779824501383,544,1120,882)
(51345,7734187632263,448,960,864)
(51346,7733382327047,672,1632,1084)
(51347,7733378134791,528,2688,1090)
(51348,7731771910919,512,1440,1220)
(51349,7731765654279,432,1440,978)
(51350,2303751199592,384,1200,924)
(51351,22300628134599,576,1784,952)
(51352,11322624617159,624,3174,1204)
(51353,26698608585415,384,672,688)
(51354,2287779060585,448,3110,1122)
(51355,30795205322631,624,2200,1136)
(51356,30795209419655,624,2950,1262)
(51357,2307510765694,384,2540,1016)
(51358,2307523151998,384,1984,860)
(51359,4467630698006,256,2224,866)
(51360,2271672900456,384,1200,936)
(51361,2307073121129,384,2184,908)
(51362,2290347411582,256,2088,940)
(51363,7187634236167,576,1760,894)
(51364,6092417575687,576,1392,798)
(51365,22576502074119,576,1440,864)
(51366,3901984254727,384,864,806)
(51367,20360332487431,384,384,800)
(51368,20360336616199,384,384,674)
(51369,2286588333866,384,864,684)
(51370,2273673022250,256,1440,812)
(51371,26674045561543,544,2280,960)
(51372,20102745598663,544,2552,972)
(51373,22301701745351,384,800,650)
(51374,26699682196167,256,864,708)
(51375,30797069690759,544,1840,1004)
(51376,30797075982023,544,1600,960)
(51377,30797084364615,512,3206,1110)
(51378,2303752669995,384,1952,878)
(51379,2307510307627,256,1200,690)
(51380,2307493792555,256,2064,828)
(51381,13314952542087,352,2778,1080)
(51382,22093999912839,448,3316,942)
(51383,30821239274311,384,2548,902)
(51384,2286589315883,256,2788,998)
(51385,2271594808019,256,3212,1024)
(51386,4570165302686,256,4140,898)
(51387,4501714261406,256,2640,790)
(51388,13194996503966,256,3096,850)
(51389,2273703988010,256,576,716)
(51390,26948923464391,384,1440,716)
(51391,30822849689479,256,1328,624)
(51392,2290346953515,256,1376,744)
(51393,2274868960104,384,1296,960)
(51394,2308683537257,384,2016,888)
(51395,2275432466558,256,1896,880)
(51396,6092417512199,512,1200,844)
(51397,22576502010631,384,864,688)
(51398,3901984191239,256,576,660)
(51399,20360332423943,384,928,756)
(51400,2271673388842,256,576,576)
(51401,2271542315818,256,1944,904)
(51402,26674045498055,544,1680,956)
(51403,20102745535175,512,1296,836)
(51404,22301701681863,384,864,776)
(51405,26699682132679,256,1296,700)
(51406,30797075883911,480,1776,980)
(51407,30797088558791,432,2052,1042)
(51408,2306973502251,256,1152,720)
(51409,2305363086123,256,2064,808)
(51410,13314684107655,256,1080,926)
(51411,22093731478407,384,1152,736)
(51412,30820970838919,384,1008,808)
(51413,2271674370859,256,2016,840)
(51414,2271620104591,256,2364,972)
(51415,4501764845822,256,2304,890)
(51416,13195047088382,256,2160,734)
(51417,223766277860,256,1584,680)
(51418,4501763879038,256,1800,836)
(51419,4501763846334,256,864,608)
(51420,13195046121598,256,2376,752)
(51421,224435924742,352,1728,864)
(51422,361338007302,352,3280,816)
(51423,4467601994194,384,5044,834)
(51424,4467601863378,256,5144,782)
(51425,4467599897044,256,5276,930)
(51426,4467731755734,256,3418,958)
(51427,4467587576604,256,1392,772)
(51428,207610929833,256,576,820)
(51429,207082574606,256,384,786)
(51430,4467630816673,256,576,644)
(51431,4673782771238,256,1248,938)
(51432,207736171053,256,512,648)
(51433,429818211878,256,832,836)
(51434,4536880688678,256,384,616)
(51435,223636778596,256,2312,784)
(51436,4467630620322,256,1488,716)
(51437,207149625686,256,384,678)
(51438,4467601861346,256,5044,908)
(51439,4501714268559,256,2184,778)
(51440,4501714268503,256,2400,832)
(51441,13194996772983,256,2416,604)
(51442,4467599890928,256,3760,948)
(51443,4501705650846,256,960,660)
(51444,4501705683550,256,4474,980)
(51445,13194987926110,256,4542,954)
(51446,4467731753702,256,2976,900)
(51447,4501738713694,256,2904,842)
(51448,4501738680990,256,864,652)
(51449,13195020956254,256,3636,878)
(51450,4467630239394,256,1360,788)
(51451,223766658544,256,1952,844)
(51452,4501763617118,256,1296,772)
(51453,4501763584414,256,384,504)
(51454,13195045859678,256,1440,766)
(51455,414763087041,352,3438,1024)
(51456,825469334721,352,2000,744)
(51457,688684424792,384,1536,740)
(51458,825586507352,384,2664,894)
(51459,414880259672,384,864,664)
(51460,344450003736,256,3432,912)
(51461,207051383590,256,384,742)
(51462,4467601994209,256,3048,592)
(51463,207677975209,384,1152,708)
(51464,4467601797858,256,4868,936)
(51465,224435695396,256,4584,952)
(51466,344575767324,256,4342,1060)
(51467,361337777956,256,5826,1064)
(51468,429788819236,256,1704,616)
(51469,4467587570488,256,4328,868)
(51470,207149429518,256,576,816)
(51471,4467599700464,256,3776,920)
(51472,4467731755505,256,864,656)
(51473,4501714072335,256,2900,820)
(51474,4501714039575,256,576,580)
(51475,13194996314895,256,1672,672)
(51476,344507806488,256,1216,874)
(51477,223636701024,256,1312,872)
(51478,4673782279972,256,1152,838)
(51479,344637698844,256,2040,916)
(51480,4536880197412,256,576,696)
(51481,429817720612,256,576,552)
(51482,207198974734,256,576,808)
(51483,4467599686624,256,1312,800)
(51484,4467731741665,256,864,648)
(51485,4501763617551,256,1680,760)
(51486,4501763584791,256,576,608)
(51487,13195045860111,256,1216,656)
(51488,8867509889251,256,2928,720)
(51489,2270473660643,256,2544,734)
(51490,1205300737411,512,1296,902)
(51491,243765292234,384,1248,672)
(51492,218129174218,512,4472,1020)
(51493,243761616586,448,1760,828)
(51494,243753359050,576,2976,988)
(51495,218124981962,384,1968,800)
(51496,243890593482,576,3104,900)
(51497,1205825025667,448,1632,938)
(51498,1172048295043,448,3366,1070)
(51499,226718981834,480,3196,1036)
(51500,1172035712515,448,3704,1122)
(51501,243752842442,384,2808,812)
(51502,213821764810,384,3048,962)
(51503,8867509877443,448,2688,864)
(51504,413946818371,448,1920,760)
(51505,2270454819267,256,1152,820)
(51506,4469530240739,352,2964,956)
(51507,4469528144611,448,2144,880)
(51508,2270571997923,256,768,776)
(51509,4469597222627,256,2376,712)
(51510,8867510790627,384,1280,780)
(51511,2270574193123,256,1440,922)
(51512,2270572128739,256,1296,830)
(51513,8867568593379,256,2016,656)
(51514,1205296608643,256,576,732)
(51515,258793092554,352,3096,988)
(51516,1205837602435,256,864,696)
(51517,4469542817507,384,2544,840)
(51518,4469509397731,256,2644,794)
(51519,4469609799395,256,2776,800)
(51520,243761747402,544,2552,988)
(51521,218125112778,256,1392,632)
(51522,243882208970,384,2160,764)
(51523,1205288220291,384,1896,938)
(51524,1172044166275,256,3308,858)
(51525,242151135050,384,2384,914)
(51526,243224745802,256,1088,608)
(51527,259866703306,448,2828,856)
(51528,1205300797059,384,1560,858)
(51529,226714793418,384,2680,840)
(51530,1172043970051,256,2372,838)
(51531,8867522485955,256,2576,832)
(51532,8867523268323,256,2208,720)
(51533,8867639668451,256,2160,756)
(51534,8867522878691,256,1944,668)
(51535,8867639795427,256,2960,836)
(51536,8867648052963,256,3616,888)
(51537,224431029134,256,2496,676)
(51538,2337823503245,256,864,656)
(51539,1220333057427,432,1644,1074)
(51540,258847614670,544,2480,916)
(51541,1211743245971,448,2136,918)
(51542,1205850256531,256,2052,834)
(51543,1187114165651,432,1584,1026)
(51544,1204227974547,384,768,760)
(51545,1179664950675,256,576,728)
(51546,1188187776403,512,1248,898)
(51547,1205301585299,384,576,770)
(51548,1220865734035,480,1488,1014)
(51549,1204352759187,480,1344,958)
(51550,226668913870,512,2752,976)
(51551,243815752910,576,1776,828)
(51552,213884675278,536,4326,1136)
(51553,243782722766,416,2208,864)
(51554,228799620302,352,2616,944)
(51555,243882353870,544,2688,860)
(51556,1180189365907,352,1368,882)
(51557,1188712191635,384,1248,750)
(51558,1205826000531,448,1248,790)
(51559,1220857345683,448,1464,892)
(51560,1205825102995,448,1408,892)
(51561,1188678644883,384,1776,830)
(51562,1187080615059,352,4060,1138)
(51563,1221939344787,384,864,798)
(51564,220264212046,256,1608,774)
(51565,245900846670,384,1088,700)
(51566,233048450638,544,2112,982)
(51567,1188187772563,384,1392,718)
(51568,1205351126675,384,1392,710)
(51569,1205300810899,384,1024,744)
(51570,1180097221779,256,1152,628)
(51571,1179564545171,384,2396,970)
(51572,1205317579923,256,2644,938)
(51573,1213341275795,448,2400,948)
(51574,1204252226707,256,3118,1006)
(51575,1211860559283,416,1764,1174)
(51576,1228373534131,416,1764,1126)
(51577,221350595790,352,1632,810)
(51578,229873421518,472,2364,1016)
(51579,259871100110,256,384,528)
(51580,1178578757283,360,1920,1212)
(51581,1204215391907,256,704,664)
(51582,226677171406,384,1248,720)
(51583,243824010446,256,576,528)
(51584,213892932814,416,4120,880)
(51585,246987039950,544,1704,910)
(51586,229873231054,448,3568,860)
(51587,259870909646,512,2944,764)
(51588,1180189363875,416,1272,1068)
(51589,1188712189603,256,576,736)
(51590,1205825998499,384,864,814)
(51591,258798259918,528,3288,964)
(51592,233161625294,512,2688,932)
(51593,1220857343651,416,1296,988)
(51594,1205825037475,384,1024,844)
(51595,1188678642851,256,1248,698)
(51596,1187080613027,352,2776,1054)
(51597,243766207694,384,1248,672)
(51598,226619368654,496,3344,1120)
(51599,226652398798,384,1632,800)
(51600,226718999758,432,2772,940)
(51601,266313535182,472,3468,1084)
(51602,1204214490643,256,512,640)
(51603,1187068032531,352,4734,1160)
(51604,229860648526,384,1200,734)
(51605,1180201750179,384,864,888)
(51606,258855872206,384,1392,676)
(51607,259921225422,544,3868,932)
(51608,1220869729955,384,864,806)
(51609,1180101348515,384,2240,886)
(51610,258914660046,256,1152,648)
(51611,1205854383267,256,2088,800)
(51612,226664588878,384,1512,816)
(51613,243778397774,544,3168,986)
(51614,213880350286,256,1200,666)
(51615,243883124430,544,2936,956)
(51616,226769315534,512,3156,1052)
(51617,243940927182,544,3996,940)
(51618,1204222875155,384,1024,824)
(51619,1188141643283,384,2508,1020)
